,missing_count,missing_percent
PassengerId,0,0.0
Survived,0,0.0
Age,0,0.0
SibSp,0,0.0
Parch,0,0.0
Fare,0,0.0
CabinKnown,0,0.0
FamilySize,0,0.0
IsAlone,0,0.0
TicketGroupSize,0,0.0
FarePerPerson,0,0.0
Pclass_1,0,0.0
Pclass_2,0,0.0
Pclass_3,0,0.0
Sex_female,0,0.0
Sex_male,0,0.0
Embarked_C,0,0.0
Embarked_Q,0,0.0
Embarked_S,0,0.0
Title_Master,0,0.0
Title_Miss,0,0.0
Title_Mr,0,0.0
Title_Mrs,0,0.0
Title_Rare,0,0.0
Deck_A,0,0.0
Deck_B,0,0.0
Deck_C,0,0.0
Deck_D,0,0.0
Deck_E,0,0.0
Deck_F,0,0.0
Deck_G,0,0.0
Deck_T,0,0.0
Deck_Unknown,0,0.0
