PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked,Title,FamilySize,IsAlone,TicketGroupSize,FarePerPerson,CabinKnown,Deck,OutlierReason
28,0,1,"Fortune, Mr. Charles Alexander",male,19.0,3,2,19950,263.0,C23 C25 C27,S,Mr,6,0,4,65.75,1,C,Fare
32,1,1,"Spencer, Mrs. William Augustus (Marie Eugenie)",female,40.0,1,0,PC 17569,146.5208,B78,C,Mrs,2,0,2,73.2604,1,B,Fare
89,1,1,"Fortune, Miss. Mabel Helen",female,23.0,3,2,19950,263.0,C23 C25 C27,S,Miss,6,0,4,65.75,1,C,Fare
119,0,1,"Baxter, Mr. Quigg Edmond",male,24.0,0,1,PC 17558,247.5208,B58 B60,C,Mr,2,0,2,123.7604,1,B,Fare
196,1,1,"Lurette, Miss. Elise",female,58.0,0,0,PC 17569,146.5208,B80,C,Miss,1,1,2,73.2604,1,B,Fare
216,1,1,"Newell, Miss. Madeleine",female,31.0,1,0,35273,113.275,D36,C,Miss,2,0,3,37.75833333333333,1,D,Fare
259,1,1,"Ward, Miss. Anna",female,35.0,0,0,PC 17755,512.3292,,C,Miss,1,1,3,170.7764,0,Unknown,Fare
269,1,1,"Graham, Mrs. William Thompson (Edith Junkins)",female,58.0,0,1,PC 17582,153.4625,C125,S,Mrs,2,0,3,51.15416666666667,1,C,Fare
270,1,1,"Bissette, Miss. Amelia",female,35.0,0,0,PC 17760,135.6333,C99,S,Miss,1,1,3,45.211099999999995,1,C,Fare
298,0,1,"Allison, Miss. Helen Loraine",female,2.0,1,2,113781,151.55,C22 C26,S,Miss,4,0,4,37.8875,1,C,Fare
300,1,1,"Baxter, Mrs. James (Helene DeLaudeniere Chaput)",female,50.0,0,1,PC 17558,247.5208,B58 B60,C,Mrs,2,0,2,123.7604,1,B,Fare
306,1,1,"Allison, Master. Hudson Trevor",male,0.92,1,2,113781,151.55,C22 C26,S,Master,4,0,4,37.8875,1,C,Fare
307,1,1,"Fleming, Miss. Margaret",female,30.0,0,0,17421,110.8833,,C,Miss,1,1,4,27.720825,0,Unknown,Fare
308,1,1,"Penasco y Castellana, Mrs. Victor de Satode (Maria Josefa Perez de Soto y Vallejo)",female,17.0,1,0,PC 17758,108.9,C65,C,Mrs,2,0,2,54.45,1,C,Fare
312,1,1,"Ryerson, Miss. Emily Borie",female,18.0,2,2,PC 17608,262.375,B57 B59 B63 B66,C,Miss,5,0,2,131.1875,1,B,Fare
319,1,1,"Wick, Miss. Mary Natalie",female,31.0,0,2,36928,164.8667,C7,S,Miss,3,0,2,82.43335,1,C,Fare
320,1,1,"Spedden, Mrs. Frederic Oakley (Margaretta Corning Stone)",female,40.0,1,1,16966,134.5,E34,C,Mrs,3,0,2,67.25,1,E,Fare
326,1,1,"Young, Miss. Marie Grice",female,36.0,0,0,PC 17760,135.6333,C32,C,Miss,1,1,3,45.211099999999995,1,C,Fare
333,0,1,"Graham, Mr. George Edward",male,38.0,0,1,PC 17582,153.4625,C91,S,Mr,2,0,3,51.15416666666667,1,C,Fare
335,1,1,"Frauenthal, Mrs. Henry William (Clara Heinsheimer)",female,40.0,1,0,PC 17611,133.65,,S,Mrs,2,0,2,66.825,0,Unknown,Fare
338,1,1,"Burns, Miss. Elizabeth Margaret",female,41.0,0,0,16966,134.5,E40,C,Miss,1,1,2,67.25,1,E,Fare
342,1,1,"Fortune, Miss. Alice Elizabeth",female,24.0,3,2,19950,263.0,C23 C25 C27,S,Miss,6,0,4,65.75,1,C,Fare
374,0,1,"Ringhini, Mr. Sante",male,22.0,0,0,PC 17760,135.6333,,C,Mr,1,1,3,45.211099999999995,0,Unknown,Fare
378,0,1,"Widener, Mr. Harry Elkins",male,27.0,0,2,113503,211.5,C82,C,Mr,3,0,1,211.5,1,C,Fare
381,1,1,"Bidois, Miss. Rosalie",female,42.0,0,0,PC 17757,227.525,,C,Miss,1,1,4,56.88125,0,Unknown,Fare
391,1,1,"Carter, Mr. William Ernest",male,36.0,1,2,113760,120.0,B96 B98,S,Mr,4,0,4,30.0,1,B,Fare
394,1,1,"Newell, Miss. Marjorie",female,23.0,1,0,35273,113.275,D36,C,Miss,2,0,3,37.75833333333333,1,D,Fare
436,1,1,"Carter, Miss. Lucile Polk",female,14.0,1,2,113760,120.0,B96 B98,S,Miss,4,0,4,30.0,1,B,Fare
439,0,1,"Fortune, Mr. Mark",male,64.0,1,4,19950,263.0,C23 C25 C27,S,Mr,6,0,4,65.75,1,C,Fare
499,0,1,"Allison, Mrs. Hudson J C (Bessie Waldo Daniels)",female,25.0,1,2,113781,151.55,C22 C26,S,Mrs,4,0,4,37.8875,1,C,Fare
506,0,1,"Penasco y Castellana, Mr. Victor de Satode",male,18.0,1,0,PC 17758,108.9,C65,C,Mr,2,0,2,54.45,1,C,Fare
528,0,1,"Farthing, Mr. John",male,40.0,0,0,PC 17483,221.7792,C95,S,Mr,1,1,1,221.7792,1,C,Fare
538,1,1,"LeRoy, Miss. Bertha",female,30.0,0,0,PC 17761,106.425,,C,Miss,1,1,2,53.2125,0,Unknown,Fare
545,0,1,"Douglas, Mr. Walter Donald",male,50.0,1,0,PC 17761,106.425,C86,C,Mr,2,0,2,53.2125,1,C,Fare
551,1,1,"Thayer, Mr. John Borland Jr",male,17.0,0,2,17421,110.8833,C70,C,Mr,3,0,4,27.720825,1,C,Fare
558,0,1,"Robbins, Mr. Victor",male,40.0,0,0,PC 17757,227.525,,C,Mr,1,1,4,56.88125,0,Unknown,Fare
582,1,1,"Thayer, Mrs. John Borland (Marian Longstreth Morris)",female,39.0,1,1,17421,110.8833,C68,C,Mrs,3,0,4,27.720825,1,C,Fare
