PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Title,Deck,CabinKnown,FamilySize,IsAlone,TicketGroupSize,FarePerPerson
1,0,3,male,22.0,1,0,7.25,S,Mr,Unknown,0,2,0,1,7.25
2,1,1,female,38.0,1,0,71.2833,C,Mrs,C,1,2,0,1,71.2833
3,1,3,female,26.0,0,0,7.925,S,Miss,Unknown,0,1,1,1,7.925
4,1,1,female,35.0,1,0,53.1,S,Mrs,C,1,2,0,2,26.55
5,0,3,male,35.0,0,0,8.05,S,Mr,Unknown,0,1,1,1,8.05
6,0,3,male,26.0,0,0,8.4583,Q,Mr,Unknown,0,1,1,1,8.4583
7,0,1,male,54.0,0,0,51.8625,S,Mr,E,1,1,1,1,51.8625
8,0,3,male,2.0,3,1,21.075,S,Master,Unknown,0,5,0,4,5.26875
9,1,3,female,27.0,0,2,11.1333,S,Mrs,Unknown,0,3,0,3,3.7111
10,1,2,female,14.0,1,0,30.0708,C,Mrs,Unknown,0,2,0,2,15.0354
11,1,3,female,4.0,1,1,16.7,S,Miss,G,1,3,0,2,8.35
12,1,1,female,58.0,0,0,26.55,S,Miss,C,1,1,1,1,26.55
13,0,3,male,20.0,0,0,8.05,S,Mr,Unknown,0,1,1,1,8.05
14,0,3,male,39.0,1,5,31.275,S,Mr,Unknown,0,7,0,7,4.4678571428571425
15,0,3,female,14.0,0,0,7.8542,S,Miss,Unknown,0,1,1,1,7.8542
16,1,2,female,55.0,0,0,16.0,S,Mrs,Unknown,0,1,1,1,16.0
17,0,3,male,2.0,4,1,29.125,Q,Master,Unknown,0,6,0,5,5.825
18,1,2,male,31.0,0,0,13.0,S,Mr,Unknown,0,1,1,1,13.0
19,0,3,female,31.0,1,0,18.0,S,Mrs,Unknown,0,2,0,1,18.0
20,1,3,female,31.0,0,0,7.225,C,Mrs,Unknown,0,1,1,1,7.225
21,0,2,male,35.0,0,0,26.0,S,Mr,Unknown,0,1,1,2,13.0
22,1,2,male,34.0,0,0,13.0,S,Mr,D,1,1,1,1,13.0
23,1,3,female,15.0,0,0,8.0292,Q,Miss,Unknown,0,1,1,1,8.0292
24,1,1,male,28.0,0,0,35.5,S,Mr,A,1,1,1,1,35.5
25,0,3,female,8.0,3,1,21.075,S,Miss,Unknown,0,5,0,4,5.26875
26,1,3,female,38.0,1,5,31.3875,S,Mrs,Unknown,0,7,0,4,7.846875
27,0,3,male,26.0,0,0,7.225,C,Mr,Unknown,0,1,1,1,7.225
29,1,3,female,18.0,0,0,7.8792,Q,Miss,Unknown,0,1,1,1,7.8792
30,0,3,male,26.0,0,0,7.8958,S,Mr,Unknown,0,1,1,1,7.8958
31,0,1,male,40.0,0,0,27.7208,C,Rare,Unknown,0,1,1,1,27.7208
33,1,3,female,18.0,0,0,7.75,Q,Miss,Unknown,0,1,1,1,7.75
34,0,2,male,66.0,0,0,10.5,S,Mr,Unknown,0,1,1,1,10.5
35,0,1,male,28.0,1,0,82.1708,C,Mr,Unknown,0,2,0,2,41.0854
36,0,1,male,42.0,1,0,52.0,S,Mr,Unknown,0,2,0,2,26.0
