PassengerId,Survived,Age,SibSp,Parch,Fare,CabinKnown,FamilySize,IsAlone,TicketGroupSize,FarePerPerson,Pclass_1,Pclass_2,Pclass_3,Sex_female,Sex_male,Embarked_C,Embarked_Q,Embarked_S,Title_Master,Title_Miss,Title_Mr,Title_Mrs,Title_Rare,Deck_A,Deck_B,Deck_C,Deck_D,Deck_E,Deck_F,Deck_G,Deck_T,Deck_Unknown
1,0,-0.5153564815185995,0.4348566085295151,-0.4462001942704374,-0.7284216955778409,0,0.08445083931801861,0,-0.527716387139349,-0.5753572246229447,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2,1,0.6759541868493816,0.4348566085295151,-0.4462001942704374,2.347915324860686,1,0.08445083931801861,0,-0.527716387139349,4.538322365405315,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
3,1,-0.21752881442660418,-0.4604992586639336,-0.4462001942704374,-0.6959928267112353,0,-0.5363369093530302,1,-0.527716387139349,-0.5214519327940202,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
4,1,0.45258343653038513,0.4348566085295151,-0.4462001942704374,1.4743392489167653,1,0.08445083931801861,0,0.21427410350288992,0.965934823226306,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
5,0,0.45258343653038513,-0.4604992586639336,-0.4462001942704374,-0.689987480624827,0,-0.5363369093530302,1,-0.527716387139349,-0.5114694713442193,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
6,0,-0.21752881442660418,-0.4604992586639336,-0.4462001942704374,-0.6703716181681826,0,-0.5363369093530302,1,-0.527716387139349,-0.4788627592645899,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
7,0,1.8672648552173627,-0.4604992586639336,-0.4462001942704374,1.4148863226613217,1,-0.5363369093530302,1,-0.527716387139349,2.987383266810977,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
8,0,-2.0044948169785757,2.225568342916412,0.8299628186941583,-0.06423041842107033,0,1.9468140853311653,0,1.6982550847873676,-0.7335792386022882,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
9,1,-0.14307189765360537,-0.4604992586639336,2.1061258316587543,-0.5418572119190425,0,0.7052385879890675,0,0.9562645941451289,-0.8579726872205464,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
10,1,-1.1110118157025899,0.4348566085295151,-0.4462001942704374,0.36795272017183206,0,0.08445083931801861,0,0.21427410350288992,0.04638241834729124,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
11,1,-1.855580983432578,0.4348566085295151,0.8299628186941583,-0.2744175314453648,1,0.7052385879890675,0,0.21427410350288992,-0.48751156386469735,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
12,1,2.165092522309358,-0.4604992586639336,-0.4462001942704374,0.19880374016361824,1,-0.5363369093530302,1,-0.527716387139349,0.965934823226306,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
13,0,-0.6642703150645971,-0.4604992586639336,-0.4462001942704374,-0.689987480624827,0,-0.5363369093530302,1,-0.527716387139349,-0.5114694713442193,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
14,0,0.7504111036223804,0.4348566085295151,5.934614870552541,0.4258058222298562,0,3.188389582673263,0,3.924226556714084,-0.7975382951770835,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
15,0,-1.1110118157025899,-0.4604992586639336,-0.4462001942704374,-0.6993942547345772,0,-0.5363369093530302,1,-0.527716387139349,-0.5271059989591874,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
16,1,1.9417217719903614,-0.4604992586639336,-0.4462001942704374,-0.3080474695292519,0,-0.5363369093530302,1,-0.527716387139349,0.12341507686311447,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
17,0,-2.0044948169785757,3.120924210109861,0.8299628186941583,0.32251386954363154,0,2.567601834002214,0,2.4402455754296066,-0.6891572851506743,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
18,1,0.1547557694383899,-0.4604992586639336,-0.4462001942704374,-0.4521757756030538,0,-0.5363369093530302,1,-0.527716387139349,-0.11616399793210583,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
19,0,0.1547557694383899,0.4348566085295151,-0.4462001942704374,-0.21196193214671727,0,0.08445083931801861,0,-0.527716387139349,0.283134460059928,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
20,1,0.1547557694383899,-0.4604992586639336,-0.4462001942704374,-0.7296227647951226,0,-0.5363369093530302,1,-0.527716387139349,-0.5773537169129049,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
21,0,0.45258343653038513,-0.4604992586639336,-0.4462001942704374,0.17238021738342119,0,-0.5363369093530302,1,0.21427410350288992,-0.11616399793210583,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
22,1,0.3781265197573863,-0.4604992586639336,-0.4462001942704374,-0.4521757756030538,1,-0.5363369093530302,1,-0.527716387139349,-0.11616399793210583,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
23,1,-1.0365548989295912,-0.4604992586639336,-0.4462001942704374,-0.6909867702136053,0,-0.5363369093530302,1,-0.527716387139349,-0.5131305529294662,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
24,1,-0.06861498088060655,-0.4604992586639336,-0.4462001942704374,0.6287865199504606,1,-0.5363369093530302,1,-0.527716387139349,1.6806790630320465,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
25,0,-1.5577533163405828,2.225568342916412,0.8299628186941583,-0.06423041842107033,0,1.9468140853311653,0,1.6982550847873676,-0.7335792386022882,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
26,1,0.6759541868493816,0.4348566085295151,5.934614870552541,0.4312106337076238,0,3.188389582673263,0,1.6982550847873676,-0.5276909712001457,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
27,0,-0.21752881442660418,-0.4604992586639336,-0.4462001942704374,-0.7296227647951226,0,-0.5363369093530302,1,-0.527716387139349,-0.5773537169129049,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
29,1,-0.8131841486105947,-0.4604992586639336,-0.4462001942704374,-0.6981931855172954,0,-0.5363369093530302,1,-0.527716387139349,-0.5251095066692272,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
30,0,-0.21752881442660418,-0.4604992586639336,-0.4462001942704374,-0.6973956755570203,0,-0.5363369093530302,1,-0.527716387139349,-0.5237838357886936,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
31,0,0.8248680203953792,-0.4604992586639336,-0.4462001942704374,0.255052213747354,0,-0.5363369093530302,1,-0.527716387139349,1.0594345501497207,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
33,1,-0.8131841486105947,-0.4604992586639336,-0.4462001942704374,-0.7044003112322071,0,-0.5363369093530302,1,-0.527716387139349,-0.5354273788237414,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
34,0,2.7607478564933485,-0.4604992586639336,-0.4462001942704374,-0.5722826973312221,0,-0.5363369093530302,1,-0.527716387139349,-0.31581322692812275,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
35,0,-0.06861498088060655,0.4348566085295151,-0.4462001942704374,2.870980968986859,0,0.08445083931801861,0,0.21427410350288992,2.126727384485788,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
36,0,0.9737818539413768,0.4348566085295151,-0.4462001942704374,1.4214922033563713,0,0.08445083931801861,0,0.21427410350288992,0.9220119928471822,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
37,1,-0.21752881442660418,-0.4604992586639336,-0.4462001942704374,-0.7294209851666192,0,-0.5363369093530302,1,-0.527716387139349,-0.5770183062081916,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
